Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-2-1 23:33:00,11177,350,295
Zhejiang,Mainland China,2020-2-2 2:13:00,661,0,32
Guangdong,Mainland China,2020-2-2 8:53:00,632,0,15
Henan,Mainland China,2020-2-2 0:53:00,493,2,10
Hunan,Mainland China,2020-2-2 9:43:00,463,0,16
Anhui,Mainland China,2020-2-2 1:33:00,340,0,7
Jiangxi,Mainland China,2020-2-2 1:23:00,333,0,12
Chongqing,Mainland China,2020-2-2 8:23:00,300,2,7
Jiangsu,Mainland China,2020-2-2 1:13:00,236,0,7
Sichuan,Mainland China,2020-2-2 1:03:00,231,1,11
Shandong,Mainland China,2020-2-2 7:43:00,230,0,6
Shanghai,Mainland China,2020-2-2 8:43:00,193,1,10
Beijing,Mainland China,2020-2-2 5:53:00,191,1,9
Fujian,Mainland China,2020-2-2 3:43:00,159,0,0
Guangxi,Mainland China,2020-2-2 3:23:00,127,0,2
Shaanxi,Mainland China,2020-2-2 0:23:00,116,0,0
Hebei,Mainland China,2020-2-2 2:53:00,113,1,3
Yunnan,Mainland China,2020-2-2 8:03:00,105,0,3
Heilongjiang,Mainland China,2020-2-2 3:23:00,95,2,2
Liaoning,Mainland China,2020-2-2 8:03:00,70,0,1
Shanxi,Mainland China,2020-2-2 9:53:00,66,0,3
Hainan,Mainland China,2020-2-1 23:33:00,64,1,4
Gansu,Mainland China,2020-2-2 9:43:00,51,0,3
Tianjin,Mainland China,2020-2-1 15:43:00,48,0,1
Guizhou,Mainland China,2020-2-2 1:03:00,38,0,2
Ningxia,Mainland China,2020-2-2 1:43:00,28,0,0
Inner Mongolia,Mainland China,2020-2-2 3:43:00,27,0,1
Jilin,Mainland China,2020-2-2 2:33:00,23,0,1
Xinjiang,Mainland China,2020-2-2 0:43:00,21,0,0
,Japan,2020-2-1 18:53:00,20,0,1
,Thailand,2020-1-31 10:37:00,19,0,5
,Singapore,2020-2-2 1:03:00,18,0,0
Hong Kong,Hong Kong,2020-2-2 2:23:00,15,0,0
,South Korea,2020-2-2 1:03:00,15,0,0
Qinghai,Mainland China,2020-2-2 5:33:00,11,0,0
,Germany,2020-1-31 15:20:00,10,0,0
Taiwan,Taiwan,2020-2-1 23:33:00,10,0,0
Macau,Macau,2020-2-2 4:23:00,8,0,0
,Malaysia,2020-1-31 8:15:00,8,0,0
,France,2020-2-1 1:52:00,6,0,0
,Vietnam,2020-2-1 7:38:00,6,0,1
,United Arab Emirates,2020-2-2 5:43:00,5,0,0
New South Wales,Australia,2020-2-1 18:12:00,4,0,2
Victoria,Australia,2020-2-1 18:12:00,4,0,0
Ontario,Canada,2020-2-1 18:12:00,3,0,0
Queensland,Australia,2020-2-1 18:12:00,2,0,0
South Australia,Australia,2020-2-2 6:03:00,2,0,0
,India,2020-1-31 8:15:00,2,0,0
,Italy,2020-2-2 3:33:00,2,0,0
,Philippines,2020-1-31 16:13:00,2,1,0
,Russia,2020-2-1 1:52:00,2,0,0
,UK,2020-2-1 19:43:00,2,0,0
"Chicago, IL",US,2020-2-1 18:12:00,2,0,0
,Cambodia,2020-1-31 8:15:00,1,0,0
British Columbia,Canada,2020-2-1 18:12:00,1,0,0
,Finland,2020-1-31 8:15:00,1,0,0
Tibet,Mainland China,2020-2-1 1:52:00,1,0,0
,Nepal,2020-1-31 8:15:00,1,0,0
,Spain,2020-2-1 23:43:00,1,0,0
,Sri Lanka,2020-1-31 8:15:00,1,0,0
,Sweden,2020-2-1 2:13:00,1,0,0
"Boston, MA",US,2020-2-1 19:43:00,1,0,0
"Los Angeles, CA",US,2020-2-1 19:53:00,1,0,0
"Orange, CA",US,2020-2-1 19:53:00,1,0,0
"Santa Clara, CA",US,2020-2-1 19:53:00,1,0,0
"Seattle, WA",US,2020-2-1 19:43:00,1,0,0
"Tempe, AZ",US,2020-2-1 19:43:00,1,0,0
