Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,China,2020-03-15T18:20:18,67794,3085,54288,30.9756,112.2707
,Italy,2020-03-14T20:13:16,24747,1809,2335,41.8719,12.5674
,Iran,2020-03-15T18:20:18,13938,724,4590,32.4279,53.688
,"Korea, South",2020-03-15T18:20:18,8162,75,510,35.9078,127.7669
,Spain,2020-03-15T18:20:18,7798,289,517,40.4637,-3.7492
,Germany,2020-03-15T18:20:18,5795,11,46,51.1657,10.4515
France,France,2020-03-15T18:20:18,4499,91,12,46.2276,2.2137
,Switzerland,2020-03-15T18:20:18,2200,14,4,46.8182,8.2275
Guangdong,China,2020-03-15T18:20:18,1360,8,1304,23.3417,113.4244
Henan,China,2020-03-14T09:53:08,1273,22,1250,33.882,113.614
Zhejiang,China,2020-03-15T01:33:02,1231,1,1211,29.1832,120.0934
,Norway,2020-03-15T18:20:18,1221,3,1,60.472,8.4689
United Kingdom,United Kingdom,2020-03-14T14:53:04,1140,21,18,55.3781,-3.436
,Netherlands,2020-03-15T18:20:18,1135,20,2,52.1326,5.2913
,Sweden,2020-03-15T18:20:18,1022,3,1,60.1282,18.6435
Hunan,China,2020-03-14T08:33:03,1018,4,1014,27.6104,111.7088
Anhui,China,2020-03-11T02:18:14,990,6,984,31.8257,117.2264
Jiangxi,China,2020-03-12T02:13:04,935,1,934,27.614,115.7221
,Belgium,2020-03-15T18:20:18,886,4,1,50.5039,4.4699
Denmark,Denmark,2020-03-15T18:20:19,864,2,1,56.2639,9.5018
,Austria,2020-03-15T18:20:18,860,1,6,47.5162,14.5501
,Japan,2020-03-14T22:33:03,839,22,118,36.2048,138.2529
Shandong,China,2020-03-14T04:33:02,760,7,741,36.3427,118.1498
New York,US,2020-03-15T18:20:19,732,3,0,42.1657,-74.9481
Diamond Princess,Cruise Ship,2020-03-13T14:13:25,696,7,325,35.4498,139.6649
Washington,US,2020-03-15T02:13:21,643,40,1,47.4009,-121.4905
Jiangsu,China,2020-03-15T01:53:02,631,0,631,32.9711,119.455
Chongqing,China,2020-03-15T03:53:04,576,6,570,30.0572,107.874
Sichuan,China,2020-03-15T18:20:18,539,3,516,30.6171,102.7103
Heilongjiang,China,2020-03-15T00:33:02,482,13,453,47.862,127.7615
Beijing,China,2020-03-15T01:13:10,442,8,353,40.1824,116.4142
,Malaysia,2020-03-15T18:20:18,428,0,42,4.2105,101.9758
California,US,2020-03-15T18:33:03,426,6,6,36.1162,-119.6816
Shanghai,China,2020-03-14T23:53:02,353,3,324,31.202,121.4491
,Qatar,2020-03-14T22:33:03,401,0,4,25.3548,51.1839
Hebei,China,2020-03-13T11:09:03,318,6,310,38.0428,114.5149
Fujian,China,2020-03-11T02:18:14,296,1,295,26.0789,117.9874
Guangxi,China,2020-03-13T11:09:03,252,2,243,23.8298,108.7881
Shaanxi,China,2020-03-12T01:33:02,245,2,232,35.1917,108.8701
,Portugal,2020-03-15T18:20:18,245,0,2,39.3999,-8.2245
,Finland,2020-03-15T18:20:18,244,0,10,61.9241,25.7482
,Czechia,2020-03-15T18:20:18,253,0,0,49.8175,15.473
,Greece,2020-03-15T18:20:18,331,4,8,39.0742,21.8243
,Singapore,2020-03-15T18:20:18,226,0,105,1.3521,103.8198
,Slovenia,2020-03-15T18:20:18,219,1,0,46.1512,14.9955
,Bahrain,2020-03-14T11:53:29,214,0,60,26.0667,50.5577
,Israel,2020-03-15T18:20:18,251,0,4,31.0461,34.8516
Yunnan,China,2020-03-14T23:33:02,174,2,172,24.974,101.487
Hainan,China,2020-03-12T03:53:02,168,6,160,19.1959,109.7453
,Brazil,2020-03-15T18:20:18,162,0,0,-14.235,-51.9253
,Iceland,2020-03-15T18:20:18,171,5,8,64.9631,-19.0208
Guizhou,China,2020-03-14T00:53:03,146,2,143,26.8154,106.8748
Hong Kong,China,2020-03-15T18:20:18,145,4,81,22.3,114.2
,Philippines,2020-03-15T18:20:18,140,11,2,12.8797,121.774
Massachusetts,US,2020-03-14T22:13:19,164,0,1,42.2302,-71.5301
Tianjin,China,2020-03-15T18:20:18,136,3,133,39.3054,117.323
,Estonia,2020-03-15T18:20:18,171,0,1,58.5953,25.0136
New South Wales,Australia,2020-03-15T18:20:19,134,2,4,-33.8688,151.2093
Gansu,China,2020-03-15T18:20:18,133,2,91,36.0611,103.8343
Shanxi,China,2020-03-13T11:09:03,133,0,133,37.5777,112.2922
,Romania,2020-03-15T18:20:18,131,0,9,45.9432,24.9668
,Ireland,2020-03-14T20:13:16,129,2,0,53.1424,-7.6921
Liaoning,China,2020-03-15T04:13:27,125,1,114,41.2956,122.6085
,Poland,2020-03-15T18:20:18,119,3,0,51.9194,19.1451
,Indonesia,2020-03-15T18:20:18,117,5,8,-0.7893,113.9213
Florida,US,2020-03-15T18:20:19,115,4,0,27.7663,-81.6868
,Thailand,2020-03-15T18:20:18,114,1,35,15.87,100.9925
,India,2020-03-15T18:20:18,113,2,13,20.5937,78.9629
,Kuwait,2020-03-15T18:20:18,112,0,5,29.3117,47.4818
,Egypt,2020-03-15T18:20:18,110,2,21,26.8206,30.8025
,Iraq,2020-03-14T22:33:03,116,10,26,33.2232,43.6793
,Lebanon,2020-03-15T18:20:18,110,3,1,33.8547,35.8623
Ontario,Canada,2020-03-15T01:53:03,104,0,4,51.2538,-85.3232
,Saudi Arabia,2020-03-14T20:33:03,103,0,1,23.8859,45.0792
Colorado,US,2020-03-14T22:13:32,131,1,0,39.0598,-105.3111
Georgia,US,2020-03-15T18:20:19,99,1,0,33.0406,-83.6431
Jilin,China,2020-03-13T11:09:03,93,1,91,43.6661,126.1923
