Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
Hubei,Mainland China,2020-02-13T14:13:06Z,48206,1310,3459,,
Guangdong,Mainland China,2020-02-13T13:33:01Z,1241,2,314,,
Henan,Mainland China,2020-02-13T14:53:02Z,1169,10,296,,
Zhejiang,Mainland China,2020-02-13T14:13:06Z,1145,0,360,,
Hunan,Mainland China,2020-02-13T11:53:02Z,968,2,339,,
Anhui,Mainland China,2020-02-13T13:33:01Z,910,5,157,,
Jiangxi,Mainland China,2020-02-13T01:13:08Z,872,1,170,,
Jiangsu,Mainland China,2020-02-13T10:33:23Z,570,0,139,,
Chongqing,Mainland China,2020-02-13T23:23:05Z,529,4,128,,
Shandong,Mainland China,2020-02-13T13:33:01Z,509,2,105,,
Sichuan,Mainland China,2020-02-13T13:33:01Z,451,1,104,,
Heilongjiang,Mainland China,2020-02-13T12:13:06Z,395,9,33,,
Beijing,Mainland China,2020-02-13T14:13:06Z,366,3,69,,
Shanghai,Mainland China,2020-02-13T06:13:15Z,315,1,62,,
Fujian,Mainland China,2020-02-13T10:33:23Z,279,0,57,,
Hebei,Mainland China,2020-02-13T10:33:23Z,265,3,68,,
Shaanxi,Mainland China,2020-02-13T10:33:23Z,229,0,46,,
Guangxi,Mainland China,2020-02-13T00:23:10Z,222,2,33,,
Diamond Princess cruise ship,Others,2020-02-12T04:23:38Z,175,0,0,,
Hainan,Mainland China,2020-02-13T10:43:03Z,157,4,30,,
Yunnan,Mainland China,2020-02-13T08:43:08Z,156,0,27,,
Guizhou,Mainland China,2020-02-13T10:33:23Z,135,1,27,,
Shanxi,Mainland China,2020-02-13T23:23:05Z,126,0,36,,
Tianjin,Mainland China,2020-02-13T23:43:02Z,119,3,21,,
Liaoning,Mainland China,2020-02-13T14:33:02Z,117,1,22,,
Gansu,Mainland China,2020-02-13T15:53:03Z,90,2,39,,
Jilin,Mainland China,2020-02-13T13:33:01Z,84,1,24,,
Ningxia,Mainland China,2020-02-13T01:23:08Z,64,0,24,,
Xinjiang,Mainland China,2020-02-13T10:33:23Z,63,1,6,,
Inner Mongolia,Mainland China,2020-02-13T01:23:08Z,61,0,6,,
,Singapore,2020-02-13T14:33:02Z,58,0,15,,
Hong Kong,Hong Kong,2020-02-13T14:53:02Z,53,1,1,,
,Thailand,2020-02-13T17:53:03Z,33,0,12,,
,Japan,2020-02-13T12:23:05Z,28,1,9,,
,South Korea,2020-02-12T14:43:03Z,28,0,7,,
,Malaysia,2020-02-13T10:53:02Z,19,0,3,,
Qinghai,Mainland China,2020-02-13T08:43:08Z,18,0,11,,
Taiwan,Taiwan,2020-02-09T09:13:11Z,18,0,1,,
,Germany,2020-02-13T15:13:11Z,16,0,1,,
,Vietnam,2020-02-13T06:33:02Z,16,0,7,,
,France,2020-02-12T18:53:02Z,11,0,2,,
Macau,Macau,2020-02-13T14:13:06Z,10,0,3,,
,UK,2020-02-12T19:03:06Z,9,0,1,,
,United Arab Emirates,2020-02-12T00:33:02Z,8,0,1,,
Queensland,Australia,2020-02-09T19:33:02Z,5,0,0,,
New South Wales,Australia,2020-02-13T17:53:03Z,4,0,4,,
Victoria,Australia,2020-02-13T17:53:03Z,4,0,4,,
British Columbia,Canada,2020-02-07T05:43:03Z,4,0,0,,
,India,2020-02-13T18:53:02Z,3,0,0,,
,Italy,2020-02-07T17:53:02Z,3,0,0,,
,Philippines,2020-02-12T07:43:02Z,3,1,1,,
South Australia,Australia,2020-02-02T22:33:07Z,2,0,0,,
"Toronto, ON",Canada,2020-02-04T00:13:06Z,2,0,0,,
,Russia,2020-02-12T14:43:03Z,2,0,2,,
,Spain,2020-02-09T20:33:03Z,2,0,0,,
"Chicago, IL",US,2020-02-09T19:03:03Z,2,0,2,,
"San Benito, CA",US,2020-02-03T03:53:02Z,2,0,0,,
"San Diego County, CA",US,2020-02-13T03:13:08Z,2,0,0,,
"Santa Clara, CA",US,2020-02-03T00:43:02Z,2,0,0,,
,Belgium,2020-02-04T15:43:02Z,1,0,0,,
,Cambodia,2020-02-12T07:43:02Z,1,0,1,,
"London, ON",Canada,2020-02-12T18:53:03Z,1,0,1,,
,Finland,2020-02-12T00:03:12Z,1,0,1,,
Tibet,Mainland China,2020-02-12T06:43:02Z,1,0,1,,
,Nepal,2020-02-12T14:43:03Z,1,0,1,,
,Sri Lanka,2020-02-08T03:43:03Z,1,0,1,,
,Sweden,2020-02-01T02:13:26Z,1,0,0,,
"Boston, MA",US,2020-02-01T19:43:03Z,1,0,0,,
"Los Angeles, CA",US,2020-02-01T19:53:03Z,1,0,0,,
"Madison, WI",US,2020-02-05T21:53:02Z,1,0,0,,
"Orange, CA",US,2020-02-01T19:53:03Z,1,0,0,,
"San Antonio, TX",US,2020-02-13T18:53:02Z,1,0,0,,
"Seattle, WA",US,2020-02-09T07:03:04Z,1,0,1,,
"Tempe, AZ",US,2020-02-01T19:43:03Z,1,0,0,,
