Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-17T23:13:06,59989,1789,7862
Guangdong,Mainland China,2020-02-17T12:43:02,1322,4,524
Henan,Mainland China,2020-02-17T14:53:02,1246,16,509
Zhejiang,Mainland China,2020-02-17T11:23:06,1171,0,507
Hunan,Mainland China,2020-02-17T11:43:01,1006,3,498
Anhui,Mainland China,2020-02-17T09:13:07,973,6,280
Jiangxi,Mainland China,2020-02-17T01:33:02,930,1,275
Jiangsu,Mainland China,2020-02-17T10:23:04,626,0,258
Chongqing,Mainland China,2020-02-17T23:13:06,553,5,225
Shandong,Mainland China,2020-02-17T11:03:06,541,2,191
Sichuan,Mainland China,2020-02-17T13:13:09,495,3,156
Heilongjiang,Mainland China,2020-02-17T08:03:06,457,11,85
Diamond Princess cruise ship,Others,2020-02-17T14:33:04,454,0,0
Beijing,Mainland China,2020-02-17T01:23:02,381,4,114
Shanghai,Mainland China,2020-02-17T23:53:02,333,1,161
Hebei,Mainland China,2020-02-17T13:03:06,301,3,122
Fujian,Mainland China,2020-02-17T10:23:04,290,0,90
Shaanxi,Mainland China,2020-02-17T11:43:01,240,0,79
Guangxi,Mainland China,2020-02-17T10:23:04,238,2,53
Yunnan,Mainland China,2020-02-17T10:23:04,171,0,47
Hainan,Mainland China,2020-02-17T11:03:06,163,4,59
Guizhou,Mainland China,2020-02-17T11:13:16,146,1,57
Shanxi,Mainland China,2020-02-17T22:53:01,130,0,53
Tianjin,Mainland China,2020-02-17T12:43:02,125,3,46
Liaoning,Mainland China,2020-02-17T11:13:16,121,1,43
Gansu,Mainland China,2020-02-17T14:53:02,91,2,58
Jilin,Mainland China,2020-02-17T11:03:06,89,1,34
,Singapore,2020-02-17T14:33:04,77,0,24
Xinjiang,Mainland China,2020-02-17T01:53:01,75,1,12
Inner Mongolia,Mainland China,2020-02-17T02:03:06,72,0,8
Ningxia,Mainland China,2020-02-17T11:03:06,70,0,35
,Japan,2020-02-17T14:33:04,66,1,12
Hong Kong,Hong Kong,2020-02-17T22:53:01,60,1,2
,Thailand,2020-02-17T07:33:02,35,0,15
,South Korea,2020-02-17T23:43:01,30,0,10
,Malaysia,2020-02-15T23:43:02,22,0,7
Taiwan,Taiwan,2020-02-17T15:43:02,22,1,2
Qinghai,Mainland China,2020-02-15T08:43:03,18,0,13
,Germany,2020-02-13T15:13:11,16,0,1
,Vietnam,2020-02-13T06:33:02,16,0,7
,France,2020-02-15T20:53:02,12,1,4
Macau,Macau,2020-02-16T12:03:06,10,0,5
,UK,2020-02-16T16:23:06,9,0,8
,United Arab Emirates,2020-02-16T20:43:02,9,0,4
Queensland,Australia,2020-02-09T19:33:02,5,0,0
British Columbia,Canada,2020-02-17T08:03:07,5,0,0
New South Wales,Australia,2020-02-13T17:53:03,4,0,4
Victoria,Australia,2020-02-13T17:53:03,4,0,4
,India,2020-02-16T07:43:02,3,0,3
,Italy,2020-02-07T17:53:02,3,0,0
,Philippines,2020-02-12T07:43:02,3,1,1
South Australia,Australia,2020-02-17T08:13:09,2,0,2
"Toronto, ON",Canada,2020-02-04T00:13:06,2,0,0
,Russia,2020-02-12T14:43:03,2,0,2
,Spain,2020-02-15T17:23:04,2,0,2
"Chicago, IL",US,2020-02-09T19:03:03,2,0,2
"San Benito, CA",US,2020-02-03T03:53:02,2,0,0
"San Diego County, CA",US,2020-02-13T03:13:08,2,0,0
"Santa Clara, CA",US,2020-02-03T00:43:02,2,0,0
,Belgium,2020-02-17T04:23:06,1,0,1
,Cambodia,2020-02-12T07:43:02,1,0,1
"London, ON",Canada,2020-02-12T18:53:03,1,0,1
,Egypt,2020-02-14T23:53:02,1,0,0
,Finland,2020-02-12T00:03:12,1,0,1
Tibet,Mainland China,2020-02-12T06:43:02,1,0,1
,Nepal,2020-02-12T14:43:03,1,0,1
,Sri Lanka,2020-02-08T03:43:03,1,0,1
,Sweden,2020-02-01T02:13:26,1,0,0
"Boston, MA",US,2020-02-01T19:43:03,1,0,0
"Los Angeles, CA",US,2020-02-01T19:53:03,1,0,0
"Madison, WI",US,2020-02-05T21:53:02,1,0,0
"Orange, CA",US,2020-02-01T19:53:03,1,0,0
"San Antonio, TX",US,2020-02-13T18:53:02,1,0,0
"Seattle, WA",US,2020-02-09T07:03:04,1,0,1
"Tempe, AZ",US,2020-02-01T19:43:03,1,0,0
