Province/State,Country/Region,First confirmed date in country,Lat,Long,1/21/2020 10:00 PM,1/22/2020 12:00 PM,1/23/2020 12:00 PM,1/24/2020 12:00 AM,1/24/2020 12:00 PM,1/25/2020 12:00 AM,1/25/2020 12:00 PM,1/25/2020 10:00 PM,1/26/2020 11:00 AM,1/26/2020 11:00 PM,1/27/2020 9:00 AM,1/27/2020 7:00 PM,1/27/2020 8:30 PM,1/28/2020 1:00 PM,1/28/2020 6:00 PM,1/28/2020 11:00 PM,1/29/2020 1:30 PM,1/29/2020 2:30 PM,1/29/2020 9:00 PM,1/30/2020 11:00 AM,1/31/2020 2:00 PM,2/1/2020 10:00 AM,2/2/2020 9:00 PM,2/3/2020 9:00 PM,2/4/2020 9:40 AM,2/4/2020 10:00 PM,2/5/2020 9:00 AM,2/5/2020 11:00 PM,2/6/2020 9:00 AM,2/6/2020 2:20 PM,2/7/2020 8:13 PM,02/08/2020 10:24 AM
"Toronto, ON",Canada,1/26/2020,43.6532,-79.3832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
British Columbia,Canada,1/28/2020,49.2827,-123.12100000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Orange, CA",US,1/26/2020,33.7879,-117.8531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Los Angeles, CA",US,1/26/2020,34.0522,-118.2437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
New South Wales,Australia,1/26/2020,-33.8688,151.2093,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
Victoria,Australia,1/26/2020,-37.8136,144.9631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Queensland,Australia,1/27/2020,-27.4698,153.0251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Cambodia,1/27/2020,12.5657,104.991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Sri Lanka,1/27/2020,7.8731,80.7718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Germany,1/27/2020,51.1657,10.4515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Finland,1/29/2020,61.9241,25.7482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,United Arab Emirates,1/29/2020,23.4241,53.8478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Philippines,1/29/2020,12.8797,121.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,India,1/29/2020,20.5937,78.9629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"London, ON",Canada,1/31/2020,42.9849,-81.2453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Italy,1/31/2020,41.8719,12.5674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,UK,1/31/2020,55.3781,-3.4360000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Russia,1/31/2020,61.523999999999994,105.3188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Sweden,1/31/2020,60.1282,18.6435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Santa Clara, CA",US,1/31/2020,37.3541,-121.9552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Spain,2/1/2020,40.4637,-3.7492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
South Australia,Australia,2/1/2020,-34.9285,138.6007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Boston, MA",US,2/2/2020,42.3601,-71.0589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"San Benito, CA",US,2/3/2020,36.5761,-120.9876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Belgium,2/4/2020,50.5039,4.4699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
"Madison, WI",US,2/5/2020,43.0731,-89.4012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Cruise Ship,Others,2/7/2020,35.4437,129.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
