Province/State,Country/Region,Last Update,Lat,Long,Confirmed,Deaths,Recovered
Hubei,Mainland China,2/8/20 14:03,30.9756,112.2707,24953,699,1218
Guangdong,Mainland China,2/8/20 11:53,23.3417,113.4244,1095,1,112
Zhejiang,Mainland China,2/8/20 10:53,29.1832,120.0934,1048,0,175
Henan,Mainland China,2/8/20 14:13,33.882,113.614,981,4,116
Hunan,Mainland China,2/8/20 12:53,27.6104,111.7088,803,1,156
Anhui,Mainland China,2/8/20 7:43,31.8257,117.2264,733,0,59
Jiangxi,Mainland China,2/8/20 1:23,27.614,115.7221,698,0,55
Jiangsu,Mainland China,2/8/20 10:23,32.9711,119.455,439,0,51
Chongqing,Mainland China,2/8/20 11:03,30.0572,107.874,428,2,39
Shandong,Mainland China,2/8/20 11:33,36.3427,118.1498,416,0,44
Sichuan,Mainland China,2/8/20 15:23,30.6171,102.7103,364,1,60
Beijing,Mainland China,2/8/20 3:13,40.1824,116.4142,315,2,34
Heilongjiang,Mainland China,2/8/20 4:03,47.862,127.7615,295,5,13
Shanghai,Mainland China,2/8/20 6:33,31.202,121.4491,286,1,41
Fujian,Mainland China,2/8/20 8:13,26.0789,117.9874,239,0,24
Hebei,Mainland China,2/8/20 11:33,39.549,116.1306,195,1,30
Shaanxi,Mainland China,2/8/20 10:13,35.1917,108.8701,195,0,20
Guangxi,Mainland China,2/8/20 0:23,23.8298,108.7881,183,0,17
Yunnan,Mainland China,2/8/20 8:43,24.974,101.487,138,0,17
Hainan,Mainland China,2/8/20 10:23,19.1959,109.7453,124,2,14
Liaoning,Mainland China,2/8/20 11:53,41.2956,122.6085,105,0,8
Shanxi,Mainland China,2/8/20 7:13,37.5777,112.2922,104,0,20
Guizhou,Mainland China,2/8/20 6:43,26.8154,106.8748,89,1,7
Tianjin,Mainland China,2/8/20 8:23,39.3054,117.323,88,1,4
Gansu,Mainland China,2/8/20 15:13,37.8099,101.0583,79,1,12
Jilin,Mainland China,2/8/20 0:13,43.6661,126.1923,69,1,4
Cruise Ship,Others,2/7/20 16:33,35.4437,139.638,61,0,0
Inner Mongolia,Mainland China,2/8/20 3:33,44.0935,113.9448,52,0,5
Ningxia,Mainland China,2/8/20 9:13,37.2692,106.1655,45,0,15
Xinjiang,Mainland China,2/8/20 3:23,41.1129,85.2401,42,0,0
,Singapore,2/8/20 12:53,1.2833,103.8333,33,0,2
,Thailand,2/8/20 12:53,15,101,32,0,10
Hong Kong,Hong Kong,2/8/20 0:03,22.3,114.2,26,1,0
,Japan,2/7/20 4:13,36,138,25,0,1
,South Korea,2/7/20 3:03,36,128,24,0,1
Qinghai,Mainland China,2/6/20 2:13,35.7452,95.9956,18,0,3
Taiwan,Taiwan,2/8/20 5:23,23.7,121,17,0,1
,Malaysia,2/8/20 10:23,2.5,112.5,16,0,1
,Germany,2/7/20 16:33,51,9,13,0,0
,Vietnam,2/8/20 7:23,16,108,13,0,1
,France,2/8/20 9:53,47,2,11,0,0
Macau,Macau,2/6/20 14:23,22.1667,113.55,10,0,1
,United Arab Emirates,2/8/20 7:03,24,54,7,0,0
Queensland,Australia,2/7/20 1:03,-27.4698,153.0251,5,0,0
New South Wales,Australia,2/6/20 3:13,-33.8688,151.2093,4,0,2
Victoria,Australia,2/1/20 18:12,-37.8136,144.9631,4,0,0
British Columbia,Canada,2/7/20 5:43,49.2827,-123.1207,4,0,0
,India,2/3/20 21:43,21,78,3,0,0
,Italy,2/7/20 17:53,43,12,3,0,0
,Philippines,2/7/20 16:43,13,122,3,1,0
,UK,2/7/20 18:33,55,-3,3,0,0
South Australia,Australia,2/2/20 22:33,-34.9285,138.6007,2,0,0
"Toronto, ON",Canada,2/4/20 0:13,43.6532,-79.3832,2,0,0
,Russia,1/31/20 16:13,60,90,2,0,0
"Chicago, IL",US,2/1/20 19:43,41.8781,-87.6298,2,0,0
"San Benito, CA",US,2/3/20 3:53,36.5761,-120.9876,2,0,0
"Santa Clara, CA",US,2/3/20 0:43,37.3541,-121.9552,2,0,0
,Belgium,2/4/20 15:43,50.8333,4,1,0,0
,Cambodia,1/31/20 8:15,11.55,104.9167,1,0,0
"London, ON",Canada,2/4/20 0:03,42.9849,-81.2453,1,0,0
,Finland,1/31/20 8:15,64,26,1,0,0
Tibet,Mainland China,2/1/20 1:52,31.6927,88.0924,1,0,0
,Nepal,1/31/20 8:15,28.1667,84.25,1,0,0
,Spain,2/1/20 23:43,28.2916,-16.6291,1,0,0
,Sri Lanka,2/8/20 3:43,7,81,1,0,1
,Sweden,2/1/20 2:13,63,16,1,0,0
"Boston, MA",US,2/1/20 19:43,42.3601,-71.0589,1,0,0
"Los Angeles, CA",US,2/1/20 19:53,34.0522,-118.2437,1,0,0
"Madison, WI",US,2/5/20 21:53,43.0731,-89.4012,1,0,0
"Orange, CA",US,2/1/20 19:53,33.7879,-117.8531,1,0,0
"Seattle, WA",US,2/1/20 19:43,47.6062,-122.3321,1,0,0
"Tempe, AZ",US,2/1/20 19:43,33.4255,-111.94,1,0,0
