Province/State,Country/Region,Last Update,Lat,Long,Confirmed,Deaths,Recovered
Hubei,Mainland China,1/27/2020 9:00,30.97564,112.2707,1423,76,45
Guangdong,Mainland China,1/27/2020 9:00,23.33841,113.422,151,,3
Zhejiang,Mainland China,1/27/2020 9:00,29.18251,120.0985,128,,1
Henan,Mainland China,1/27/2020 9:00,33.88202,113.614,128,,
Chongqing,Mainland China,1/27/2020 9:00,30.05718,107.874,110,1,
Hunan,Mainland China,1/27/2020 9:00,27.61041,111.7088,100,,
Shandong,Mainland China,1/27/2020 9:00,36.34377,118.1529,75,,
Beijing,Mainland China,1/27/2020 9:00,40.18238,116.4142,72,,2
Anhui,Mainland China,1/27/2020 9:00,31.82571,117.2264,70,,
Sichuan,Mainland China,1/27/2020 9:00,30.61714,102.7103,69,,
Fujian,Mainland China,1/27/2020 9:00,26.07783,117.9895,56,,
Shanghai,Mainland China,1/27/2020 9:00,31.20327,121.4554,53,1,3
Jiangxi,Mainland China,1/27/2020 9:00,27.61401,115.7221,48,,1
Jiangsu,Mainland China,1/27/2020 9:00,32.97027,119.464,47,,1
Guangxi,Mainland China,1/27/2020 9:00,23.82908,108.7881,46,,
Shaanxi,Mainland China,1/27/2020 9:00,35.19165,108.8701,35,,
Hainan,Mainland China,1/27/2020 9:00,19.19673,109.7455,33,1,
Liaoning,Mainland China,1/27/2020 9:00,41.29284,122.6086,27,,
Yunnan,Mainland China,1/27/2020 9:00,24.97411,101.4868,26,,
Tianjin,Mainland China,1/27/2020 9:00,39.29362,117.333,22,,
Heilongjiang,Mainland China,1/27/2020 9:00,47.862,127.7622,21,1,
Hebei,Mainland China,1/27/2020 9:00,38.0428,114.5149,18,1,
Gansu,Mainland China,1/27/2020 9:00,36.0611,103.8343,14,,
Shanxi,Mainland China,1/27/2020 9:00,37.57769,112.2922,13,,
Inner Mongolia,Mainland China,1/27/2020 9:00,44.09448,113.9456,11,,
Hong Kong,Hong Kong,1/27/2020 9:00,22.3193,114.1694,8,,
Guizhou,Mainland China,1/27/2020 9:00,26.81536,106.8748,7,,
Ningxia,Mainland China,1/27/2020 9:00,37.26923,106.1655,7,,
Jilin,Mainland China,1/27/2020 9:00,43.66657,126.1917,6,,
Macau,Macau,1/27/2020 9:00,22.1987,113.5439,6,,
Taiwan,Taiwan,1/27/2020 9:00,23.6978,120.9605,5,,
Xinjiang,Mainland China,1/27/2020 9:00,41.11981,85.17822,5,,
Qinghai,Mainland China,1/27/2020 9:00,35.65945,96.02564,4,,
Washington,US,1/27/2020 9:00,47.6062,-122.3321,1,,
Illinois,US,1/27/2020 9:00,41.8781,-87.6298,1,,
California,US,1/27/2020 9:00,36.7783,-119.4179,2,,
Arizona,US,1/27/2020 9:00,34.0489,-111.0937,1,,
,Japan,1/27/2020 9:00,35.6762,139.6503,4,,1
,Thailand,1/27/2020 9:00,13.7563,100.5018,8,,2
,South Korea,1/27/2020 9:00,37.5665,126.978,4,,
,Singapore ,1/27/2020 9:00,1.3521,103.8198,4,,
,Vietnam,1/27/2020 9:00,21.0278,105.8342,2,,
,France,1/27/2020 9:00,46.2276,2.2137,3,,
,Australia,1/27/2020 9:00,-25.2744,133.7751,5,,
,Nepal,1/27/2020 9:00,28.3949,84.124,1,,
,Malaysia ,1/27/2020 9:00,4.2105,101.9758,4,,
Ontario,Canada,1/27/2020 9:00,43.6532,-79.3832,1,,
,Cambodia,1/27/2020 9:00,12.5657,104.991,1,,
