Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered
Hubei,Mainland China,2020-02-08T14:03:03,30.9756,112.2707,24953,699,1218
Guangdong,Mainland China,2020-02-08T11:53:01,23.3417,113.4244,1095,1,112
Zhejiang,Mainland China,2020-02-08T10:53:02,29.1832,120.0934,1048,0,175
Henan,Mainland China,2020-02-08T14:13:12,33.8820,113.6140,981,4,116
Hunan,Mainland China,2020-02-08T12:53:01,27.6104,111.7088,803,1,156
Anhui,Mainland China,2020-02-08T07:43:02,31.8257,117.2264,733,0,59
Jiangxi,Mainland China,2020-02-08T01:23:02,27.6140,115.7221,698,0,55
Jiangsu,Mainland China,2020-02-08T10:23:04,32.9711,119.4550,439,0,51
Chongqing,Mainland China,2020-02-08T11:03:15,30.0572,107.8740,428,2,39
Shandong,Mainland China,2020-02-08T11:33:02,36.3427,118.1498,416,0,44
Sichuan,Mainland China,2020-02-08T15:23:04,30.6171,102.7103,364,1,60
Beijing,Mainland China,2020-02-08T03:13:09,40.1824,116.4142,315,2,34
Heilongjiang,Mainland China,2020-02-08T04:03:09,47.8620,127.7615,295,5,13
Shanghai,Mainland China,2020-02-08T06:33:02,31.2020,121.4491,286,1,41
Fujian,Mainland China,2020-02-08T08:13:10,26.0789,117.9874,239,0,24
Hebei,Mainland China,2020-02-08T11:33:02,39.5490,116.1306,195,1,30
Shaanxi,Mainland China,2020-02-08T10:13:06,35.1917,108.8701,195,0,20
Guangxi,Mainland China,2020-02-08T00:23:03,23.8298,108.7881,183,0,17
Yunnan,Mainland China,2020-02-08T08:43:02,24.9740,101.4870,138,0,17
Hainan,Mainland China,2020-02-08T10:23:04,19.1959,109.7453,124,2,14
Liaoning,Mainland China,2020-02-08T11:53:01,41.2956,122.6085,105,0,8
Shanxi,Mainland China,2020-02-08T07:13:14,37.5777,112.2922,104,0,20
Guizhou,Mainland China,2020-02-08T06:43:03,26.8154,106.8748,89,1,7
Tianjin,Mainland China,2020-02-08T08:23:04,39.3054,117.3230,88,1,4
Gansu,Mainland China,2020-02-08T15:13:14,37.8099,101.0583,79,1,12
Jilin,Mainland China,2020-02-08T00:13:04,43.6661,126.1923,69,1,4
Cruise Ship,Others,2020-02-07T16:33:03,35.4437,139.6380,61,0,0
Inner Mongolia,Mainland China,2020-02-08T03:33:02,44.0935,113.9448,52,0,5
Ningxia,Mainland China,2020-02-08T09:13:16,37.2692,106.1655,45,0,15
Xinjiang,Mainland China,2020-02-08T03:23:10,41.1129,85.2401,42,0,0
,Singapore,2020-02-08T12:53:01,1.2833,103.8333,33,0,2
,Thailand,2020-02-08T12:53:01,15.0000,101.0000,32,0,10
Hong Kong,Hong Kong,2020-02-08T00:03:07,22.3000,114.2000,26,1,0
,Japan,2020-02-07T04:13:20,36.0000,138.0000,25,0,1
,South Korea,2020-02-07T03:03:03,36.0000,128.0000,24,0,1
Qinghai,Mainland China,2020-02-06T02:13:15,35.7452,95.9956,18,0,3
Taiwan,Taiwan,2020-02-08T05:23:02,23.7000,121.0000,17,0,1
,Malaysia,2020-02-08T10:23:04,2.5000,112.5000,16,0,1
,Germany,2020-02-07T16:33:03,51.0000,9.0000,13,0,0
,Vietnam,2020-02-08T07:23:04,16.0000,108.0000,13,0,1
,France,2020-02-08T09:53:01,47.0000,2.0000,11,0,0
Macau,Macau,2020-02-06T14:23:04,22.1667,113.5500,10,0,1
,United Arab Emirates,2020-02-08T07:03:16,24.0000,54.0000,7,0,0
Queensland,Australia,2020-02-07T01:03:02,-27.4698,153.0251,5,0,0
New South Wales,Australia,2020-02-06T03:13:22,-33.8688,151.2093,4,0,2
Victoria,Australia,2020-02-01T18:12:49,-37.8136,144.9631,4,0,0
British Columbia,Canada,2020-02-07T05:43:03,49.2827,-123.1207,4,0,0
,India,2020-02-03T21:43:02,21.0000,78.0000,3,0,0
,Italy,2020-02-07T17:53:02,43.0000,12.0000,3,0,0
,Philippines,2020-02-07T16:43:04,13.0000,122.0000,3,1,0
,UK,2020-02-07T18:33:02,55.0000,-3.0000,3,0,0
South Australia,Australia,2020-02-02T22:33:07,-34.9285,138.6007,2,0,0
"Toronto, ON",Canada,2020-02-04T00:13:06,43.6532,-79.3832,2,0,0
,Russia,2020-01-31T16:13:45,60.0000,90.0000,2,0,0
"Chicago, IL",US,2020-02-01T19:43:03,41.8781,-87.6298,2,0,0
"San Benito, CA",US,2020-02-03T03:53:02,36.5761,-120.9876,2,0,0
"Santa Clara, CA",US,2020-02-03T00:43:02,37.3541,-121.9552,2,0,0
,Belgium,2020-02-04T15:43:02,50.8333,4.0000,1,0,0
,Cambodia,2020-01-31T08:15:53,11.5500,104.9167,1,0,0
"London, ON",Canada,2020-02-04T00:03:11,42.9849,-81.2453,1,0,0
,Finland,2020-01-31T08:15:53,64.0000,26.0000,1,0,0
Tibet,Mainland China,2020-02-01T01:52:40,31.6927,88.0924,1,0,0
,Nepal,2020-01-31T08:15:53,28.1667,84.2500,1,0,0
,Spain,2020-02-01T23:43:02,28.2916,-16.6291,1,0,0
,Sri Lanka,2020-02-08T03:43:03,7.0000,81.0000,1,0,1
,Sweden,2020-02-01T02:13:26,63.0000,16.0000,1,0,0
"Boston, MA",US,2020-02-01T19:43:03,42.3601,-71.0589,1,0,0
"Los Angeles, CA",US,2020-02-01T19:53:03,34.0522,-118.2437,1,0,0
"Madison, WI",US,2020-02-05T21:53:02,43.0731,-89.4012,1,0,0
"Orange, CA",US,2020-02-01T19:53:03,33.7879,-117.8531,1,0,0
"Seattle, WA",US,2020-02-01T19:43:03,47.6062,-122.3321,1,0,0
"Tempe, AZ",US,2020-02-01T19:43:03,33.4255,-111.9400,1,0,0
